review_id,product_id,customer_id,rating,title,comment,created_at
rev-0001,prod-0002,cust-0024,4,Excelente producto,Muy satisfecho con la compra.,2026-02-19T08:25:41Z
rev-0002,prod-0013,cust-0009,5,Lo recomiendo,La calidad es increíble.,2026-03-04T08:54:05Z
rev-0003,prod-0020,cust-0015,5,Muy bueno,Muy satisfecho con la compra.,2026-01-10T06:19:26Z
rev-0004,prod-0008,cust-0019,1,Decepcionante,No vale el precio.,2026-01-24T05:25:58Z
rev-0005,prod-0014,cust-0028,5,Superó mis expectativas,Justo lo que necesitaba.,2026-02-13T22:36:53Z
rev-0006,prod-0006,cust-0027,1,Decepcionante,No vale el precio.,2026-01-09T22:42:08Z
rev-0007,prod-0006,cust-0025,5,Muy bueno,Llegó rápido y en buen estado.,2026-02-09T09:49:12Z
rev-0008,prod-0020,cust-0019,5,Excelente producto,Muy satisfecho con la compra.,2026-03-08T23:19:14Z
rev-0009,prod-0005,cust-0007,5,Superó mis expectativas,Llegó rápido y en buen estado.,2026-01-04T14:58:19Z
rev-0010,prod-0018,cust-0025,4,Excelente producto,Justo lo que necesitaba.,2026-01-01T22:27:01Z
rev-0011,prod-0016,cust-0024,5,Lo recomiendo,La calidad es increíble.,2026-02-02T13:24:13Z
rev-0012,prod-0005,cust-0038,5,Excelente producto,Llegó rápido y en buen estado.,2026-03-06T19:15:16Z
rev-0013,prod-0004,cust-0003,5,Muy bueno,La calidad es increíble.,2026-03-04T09:37:18Z
rev-0014,prod-0013,cust-0029,5,Muy bueno,Justo lo que necesitaba.,2026-01-05T08:06:32Z
rev-0015,prod-0010,cust-0016,5,Muy bueno,La calidad es increíble.,2026-01-18T03:37:41Z
rev-0016,prod-0014,cust-0032,5,Excelente producto,Llegó rápido y en buen estado.,2026-01-23T08:40:03Z
rev-0017,prod-0006,cust-0048,4,Superó mis expectativas,Justo lo que necesitaba.,2026-02-22T06:02:54Z
rev-0018,prod-0017,cust-0048,1,Mala calidad,No cumplió con lo esperado.,2026-03-03T05:26:34Z
rev-0019,prod-0013,cust-0027,5,Muy bueno,Llegó rápido y en buen estado.,2026-01-19T06:16:28Z
rev-0020,prod-0020,cust-0001,4,Muy bueno,La calidad es increíble.,2026-02-21T21:18:02Z
rev-0021,prod-0005,cust-0008,5,Muy bueno,Llegó rápido y en buen estado.,2026-03-11T04:40:35Z
rev-0022,prod-0010,cust-0044,4,Superó mis expectativas,Muy satisfecho con la compra.,2026-03-09T08:51:43Z
rev-0023,prod-0014,cust-0034,5,Lo recomiendo,Muy satisfecho con la compra.,2026-01-09T03:28:15Z
rev-0024,prod-0016,cust-0050,5,Genial,La calidad es increíble.,2026-03-01T19:48:35Z
rev-0025,prod-0019,cust-0042,5,Lo recomiendo,La calidad es increíble.,2026-02-16T14:51:24Z
rev-0026,prod-0018,cust-0029,4,Superó mis expectativas,La calidad es increíble.,2026-03-03T13:17:11Z
rev-0027,prod-0006,cust-0027,5,Muy bueno,Muy satisfecho con la compra.,2026-02-23T11:57:18Z
rev-0028,prod-0007,cust-0033,4,Superó mis expectativas,Muy satisfecho con la compra.,2026-01-04T23:13:01Z
rev-0029,prod-0016,cust-0038,5,Genial,Llegó rápido y en buen estado.,2026-02-05T17:40:37Z
rev-0030,prod-0010,cust-0008,1,Decepcionante,No vale el precio.,2026-01-16T12:30:35Z
